Name,Conf,Campaign,ObtainType,PetSkin,CostLegendaryTrophies,CostGems,TID,ShopTID,InfoTID,MaterialsFile,BlueTexture,RedTexture,BlueSpecular,RedSpecular,,,,,,,
ArcadeDefault,ArcadeDefault,,,DamageBoosterDefault,,,,,,,8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,
DamageBoosterDefault,DamageBoosterDefault,,,,,,,,,,8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_tex.pvr,"8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,
SniperPink,SniperPink,,,,500,,TID_PIPER_PINK_SKIN,TID_PIPER_PINK_SKIN_SHOP,,,piper_pink_tex.pvr,piper_pink_tex.pvr,piper_pink_tex.pvr,piper_pink_tex.pvr,,,,,,,
ArcadeClassic,ArcadeClassic,,,DamageBoosterDefault,,29,TID_8BIT_CLASSIC_SKIN,TID_8BIT_CLASSIC_SKIN_SHOP,,,8bit_classic_tex.pvr,"8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_classic_tex.pvr,"8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,
NinjaShark,NinjaShark,,,,,79,TID_LEON_SHARK_SKIN,TID_LEON_SHARK_SKIN_SHOP,,,shark_leon_tex.pvr,shark_leon_tex.pvr,shark_leon_tex.pvr,shark_leon_tex.pvr,,,,,,,
BlackHoleBlue,BlackHoleBlue,,,,500,,TID_TARA_BLUE_SKIN,TID_TARA_BLUE_SKIN_SHOP,,,tara_blue_tex.pvr,tara_blue_tex.pvr,tara_blue_tex.pvr,tara_blue_tex.pvr,,,,,,,
LootBoxMoonFestival,LootBoxMoonFestival,,,,,,,,,,,,,,,,,,,,
SandstormDefault,SandstormDefault,,,,,,,,,,sandy_tex.pvr,sandy_tex.pvr,sandy_tex.pvr,sandy_tex.pvr,,,,,,,
BeeSniperDefault,BeeSniperDefault,,,BeeSniperSlowPotDefault,,,,,,,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,,,,,,,
BossRaceBossDefault,BossRaceBossDefault,,,,,,,,,,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,bossbot_tex.pvr,,,,,,,
BarkeepWizardRed,BarkeepWizardRed,,,,2500,,TID_BARLEY_RED_WIZARD_SKIN,TID_BARLEY_RED_WIZARD_SKIN_SHOP,,,"barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)",,,,,,,
HookPirate,HookPirate,,,,,79,TID_GENE_PIRATE_SKIN,TID_GENE_PIRATE_SKIN_SHOP,,,gene_pirate_tex.pvr,gene_pirate_tex.pvr,gene_pirate_tex.pvr,gene_pirate_tex.pvr,,,,,,,
Sandstormsleepy,Sandstormsleepy,,,,,29,TID_SANDY_SLEEPY_SKIN,TID_SANDY_SLEEPY_SKIN_SHOP,,,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,sleepy_sandy_tex.pvr,,,,,,,
MummyDefault,MummyDefault,,,,,,,,,,emz_tex.pvr,emz_tex.pvr,emz_tex.pvr,emz_tex.pvr,,,,,,,
Sniperrose,Sniperrose,,,,,79,TID_PIPER_CALAVERA_SKIN,TID_PIPER_CALAVERA_SKIN_SHOP,,,piper_rose_tex.pvr,piper_rose_tex.pvr,piper_rose_tex.pvr,piper_rose_tex.pvr,,,,,,,
SpawnerDudeDefault,SpawnerDudeDefault,,,SpawnerDudeTurretDefault,,149,TID_BROCK_HOTROD_SKIN,TID_BROCK_HOTROD_SKIN_SHOP,,,mrp_tex.pvr,mrp_tex.pvr,mrp_tex.pvr,mrp_tex.pvr,,,,,,,
ShotgunGirlWitch,ShotgunGirlWitch,,,,,149,TID_SHELLY_WITCH_SKIN,TID_SHELLY_WITCH_SKIN_SHOP,,,shelly_witch_tex.pvr,shelly_witch_tex.pvr,shelly_witch_tex.pvr,shelly_witch_tex.pvr,,,,,,,
MechanicKnightDark,MechanicKnightDark,,,TurretDragonDark,10000,,TID_JESSIE_DARK_KNIGHT_SKIN,TID_JESSIE_DARK_KNIGHT_SKIN_SHOP,,,"jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,117.209000)+value(masks/jessie/jessie_knight_plume_msk.png,0.600000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.581000)+value(masks/jessie/jessie_knight_metal_msk.png,0.000000)+hue(masks/jessie/jessie_knight_fabric_msk.png,125.581001)+value(masks/jessie/jessie_knight_fabric_msk.png,0.600000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,117.209000)+value(masks/jessie/jessie_knight_plume_msk.png,0.600000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.581000)+value(masks/jessie/jessie_knight_metal_msk.png,0.000000)+hue(masks/jessie/jessie_knight_fabric_msk.png,125.581001)+value(masks/jessie/jessie_knight_fabric_msk.png,0.600000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,140.000000)+hue(masks/jessie/jessie_knight_plume_msk.png,0.400000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_metal_msk.png,0.698000)+value(masks/jessie/jessie_knight_fabric_msk.png,0.930000)+hue(masks/jessie/jessie_knight_fabric_msk.png,117.209000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,140.000000)+hue(masks/jessie/jessie_knight_plume_msk.png,0.400000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_metal_msk.png,0.698000)+value(masks/jessie/jessie_knight_fabric_msk.png,0.930000)+hue(masks/jessie/jessie_knight_fabric_msk.png,117.209000)",,,,,,,
TurretDragonDark,TurretDragonDark,,,,,,,,,,"turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,322.325989)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,0.349000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.200000)+hue(masks/jessie/jessie_turrret_dragon_belly_msk.png,330.697998)+saturation(masks/jessie/jessie_turrret_dragon_belly_msk.png,1.395000)+value(masks/jessie/jessie_turrret_dragon_belly_msk.png,0.930000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,322.325989)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,0.349000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.200000)+hue(masks/jessie/jessie_turrret_dragon_belly_msk.png,330.697998)+saturation(masks/jessie/jessie_turrret_dragon_belly_msk.png,1.395000)+value(masks/jessie/jessie_turrret_dragon_belly_msk.png,0.930000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,351.627991)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,1.047000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.814000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,351.627991)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,1.047000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.814000)",,,,,,,
HammerDudeDJ,HammerDudeDJ,,,,,79,TID_FRANK_DJ_SKIN,TID_FRANK_DJ_SKIN_SHOP,,,frank_dj_tex.pvr,frank_dj_tex.pvr,"frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)","frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)",,,,,,,
NinjaWolf,NinjaWolf,,,,,149,TID_LEON_WEREWOLF_SKIN,TID_LEON_WEREWOLF_SKIN_SHOP,,,leon_wolf_tex.pvr,leon_wolf_tex.pvr,leon_wolf_tex.pvr,leon_wolf_tex.pvr,,,,,,,
SpeedyDefault,SpeedyDefault,,,,,,,,,,max_tex.pvr,max_tex.pvr,max_tex.pvr,max_tex.pvr,,,,,,,
LuchadorBrown,LuchadorBrown,,,,,149,TID_EL_PRIMO_BROWN_SKIN,TID_EL_PRIMO_BROWN_SKIN_SHOP,,,primo_brown_tex.pvr,primo_brown_tex.pvr,primo_brown_tex.pvr,primo_brown_tex.pvr,,,,,,,
HomerDefault,HomerDefault,,,,,,,,,,spike_tex.pvr,spike_tex.pvr,spike_tex.pvr,spike_tex.pvr,,,,,,,
TrickshotDudeTotal,TrickshotDudeTotal,,,,,79,TID_RICO_BETA_SKIN,TID_RICO_BETA_SKIN_SHOP,,,rico_og_tex.pvr,rico_og_tex.pvr,rico_og_tex.pvr,rico_og_tex.pvr,,,,,,,
NinjaSally,NinjaSally,,,,,79,TID_LEON_SALLY_SKIN,TID_LEON_SALLY_SKIN_SHOP,,,leon_sally_tex.pvr,leon_sally_tex.pvr,leon_sally_tex.pvr,leon_sally_tex.pvr,,,,,,,
WhirlwindLeonard,WhirlwindLeonard,,,,,79,TID_CARL_LEONARD_SKIN,TID_CARL_LEONARD_SKIN_SHOP,,,carl_leonard_tex.pvr,carl_leonard_tex.pvr,carl_leonard_tex.pvr,carl_leonard_tex.pvr,,,,,,,
TntDudeSantaRope,TntDudeSantaRope,,,,,,,,,,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,221.860001)",dynamike_santa_tex.pvr,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,213.488007)",dynamike_santa_tex.pvr,,,,,,,
WhirlwindPirate,WhirlwindPirate,,,,,149,TID_CARL_CAPTAIN_SKIN,TID_CARL_CAPTAIN_SKIN_SHOP,,,"carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)","carl_pirate_tex.pvr+value(masks/carl/carl_flag_msk.png,0.000000)",,,,,,,
GunslingerPirate,GunslingerPirate,,,,,149,TID_COLT_CORSAIR_SKIN,TID_COLT_CORSAIR_SKIN_SHOP,,,colt_pirate_tex.pvr,colt_pirate_tex.pvr,colt_pirate_tex.pvr,colt_pirate_tex.pvr,,,,,,,
CtfGift,CtfGift,,,,,,,,,,item_present_blue.pvr,item_present_red.pvr,,,,,,,,,
SpeedyGT,SpeedyGT,,,,,29,TID_MAX_BLUE_SKIN,TID_MAX_BLUE_SKIN_SHOP,,,max_gt_tex.pvr,max_gt_tex.pvr,max_gt_tex.pvr,max_gt_tex.pvr,,,,,,,
BeeSniperDefaultAddonBee,BeeSniperDefaultAddonBee,,,,,,,,,,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,bea_tex.pvr,,,,,,,
BeeSniperLadyBug,BeeSniperLadyBug,,,BeeSniperSlowPotDefault,,29,TID_BEA_LADYBUG_SKIN,TID_BEA_LADYBUG_SKIN_SHOP,,,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,,,,,,,
PocoPirate,PocoPirate,,,,,79,TID_POCO_PIRATE_SKIN,TID_POCO_PIRATE_SKIN_SHOP,,,poco_pirate_tex.pvr,poco_pirate_tex.pvr,poco_pirate_tex.pvr,poco_pirate_tex.pvr,,,,,,,
BeeSniperLadyBugAddonBee,BeeSniperLadyBugAddonBee,,,,,,,,,,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,bea_ladybug_tex.pvr,,,,,,,
DrillerDefault,DrillerDefault,,,,,79,TID_CARL_RR_SKIN,TID_CARL_RR_SKIN_SHOP,,,jacky_tex.pvr,jacky_tex.pvr,jacky_tex.pvr,jacky_tex.pvr,,,,,,,
ArcadeVirus,ArcadeVirus,,,DamageBoosterVirus,,299,TID_8BIT_VIRUS_SKIN,TID_8BIT_VIRUS_SKIN_SHOP,,,8bit_virus_tex.pvr,8bit_virus_tex.pvr,8bit_virus_tex.pvr,8bit_virus_tex.pvr,,,,,,,
DamageBoosterVirus,DamageBoosterVirus,,,,,,,,,,8bit_virus_tex.pvr,"8bit_virus_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",8bit_virus_tex.pvr,"8bit_virus_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)",,,,,,,
BlackHoleStreetNinja,BlackHoleStreetNinja,,,,,79,TID_TARA_STREET_NINJA_SKIN,TID_TARA_STREET_NINJA_SKIN_SHOP,,,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,tara_streetninja_tex.pvr,,,,,,,
BaseballGamer,BaseballGamer,,,,,149,TID_BIBI_GAMER_SKIN,TID_BIBI_GAMER_SKIN_SHOP,,,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,bibi_gamer_tex.pvr,,,,,,,
SniperValentines,SniperValentines,,,,,149,TID_PIPER_CUPID_SKIN,TID_PIPER_CUPID_SKIN_SHOP,,,piper_valentines_tex.pvr,piper_valentines_tex.pvr,piper_valentines_tex.pvr,piper_valentines_tex.pvr,,,,,,,
ShamanKoala,ShamanKoala,,,ShamanBearKoala,,79,TID_NITA_KOALA_SKIN,TID_NITA_KOALA_SKIN_SHOP,,,nita_koala_tex.pvr,nita_koala_tex.pvr,nita_koala_tex.pvr,nita_koala_tex.pvr,,,,,,,
ShamanBearKoala,ShamanBearKoala,,,,,,,,,,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,nita_koala_bear_tex.pvr,,,,,,,
SpawnerPetDefault,SpawnerPetDefault,,,,,,,,,,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,,,,,,,
SpawnerDudeTurretDefault,SpawnerDudeTurretDefault,,,,,,,,,,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,mrp_spawner_tex.pvr,,,,,,,
SpawnerDudeAgentP,SpawnerDudeAgentP,,,SpawnerDudeTurretAgentP,,29,TID_MRP_AGENT_SKIN,TID_MRP_AGENT_SKIN_SHOP,,,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,mrp_agentp_tex.pvr,,,,,,,
SpawnerPetAgentP,SpawnerPetAgentP,,,,,,,,,,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,,,,,,,
SpawnerDudeTurretAgentP,SpawnerDudeTurretAgentP,,,,,,,,,,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,mrp_agentp_spawner_tex.pvr,,,,,,,
BlowerDefault,BlowerDefault,,,,,149,TID_NITA_REINDEER_SKIN,TID_NITA_REINDEER_SKIN_SHOP,,,gale_tex.pvr,gale_tex.pvr,gale_tex.pvr,gale_tex.pvr,,,,,,,
ControllerDefault,ControllerDefault,,,,,149,TID_MECHANIC_KNIGHT_SKIN,TID_MECHANIC_KNIGHT_SKIN_SHOP,,,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,,,,,,,
WallyDefault,WallyDefault,,,,,79,TID_POCO_PIRATE_SKIN,TID_POCO_PIRATE_SKIN_SHOP,,,sprout_tex.pvr,sprout_tex.pvr,"sprout_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)","sprout_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)",,,,,,,
BarrelBotFootball,BarrelBotFootball,,,,,79,TID_MASCOT_DARRYL_SKIN,TID_MASCOT_DARRYL_SKIN_SHOP,,,darryl_fb_tex.pvr,darryl_fb_tex.pvr,darryl_fb_tex.pvr,darryl_fb_tex.pvr,,,,,,,
ShotgunGirlFootball,ShotgunGirlFootball,,,,,79,TID_PSG_SHELLY_SKIN,TID_PSG_SHELLY_SKIN_SHOP,,,shelly_fb_tex.pvr,shelly_fb_tex.pvr,shelly_fb_tex.pvr,shelly_fb_tex.pvr,,,,,,,
TntDudeFootball,TntDudeFootball,,,,,149,TID_COACH_MIKE_SKIN,TID_COACH_MIKE_SKIN_SHOP,,,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,dynamike_coach_tex.pvr,,,,,,,
BallArena,BallArena,,,,,,,,,,,,,,,,,,,,
MechanicTanuki,MechanicTanuki,,,MechanicTurretTanuki,,149,TID_TANUKI_JESSIE_SKIN,TID_TANUKI_JESSIE_SKIN_SHOP,,,jessie_tanuki_tex.pvr,jessie_tanuki_tex.pvr,jessie_tanuki_tex.pvr,jessie_tanuki_tex.pvr,,,,,,,
BowDudeHorus,BowDudeHorus,,,BowDudeTotemDefault,,149,TID_HORUS_BO_SKIN,TID_HORUS_BO_SKIN_SHOP,,,bo_falcon_tex.pvr,bo_falcon_tex.pvr,bo_falcon_tex.pvr,bo_falcon_tex.pvr,,,,,,,
BallArenaPSG,BallArenaPSG,,,,,,,,,,,,,,,,,,,,
ArtilleryDudeDarkBunny,ArtilleryDudeDarkBunny,,,ArtilleryTurretDarkBunny,10000,,TID_BLACK_BUNNY_PENNY_SKIN,TID_BLACK_BUNNY_PENNY_SKIN_SHOP,,,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,,,,,,,
ArtilleryTurretDarkBunny,ArtilleryTurretBunny,,,,,,,,,,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,penny_bunnydark_tex.pvr,,,,,,,
MummyCollege,MummyCollege,,,,500,,TID_COLLEGE_EMZ_SKIN,TID_COLLEGE_EMZ_SKIN_SHOP,,,emz_college_tex.pvr,emz_college_tex.pvr,emz_college_tex.pvr,emz_college_tex.pvr,,,,,,,
BeeSniperSlowPotDefault,BeeSniperSlowPotDefault,,,,,,,,,,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,bea_gadget_honeypot_tex.pvr,,,,,,,
MechanicTurretTanuki,MechanicTurretTanuki,,,,,,,,,,turret_jessie_tanuki_tex.pvr,turret_jessie_tanuki_tex.pvr,turret_jessie_tanuki_tex.pvr,turret_jessie_tanuki_tex.pvr,,,,,,,
BowDudeTotemDefault,BowDudeTotemDefault,,,,,,,,,,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,bo_gadget_totem_tex.pvr,,,,,,,
TrickshotDudeBazaar,TrickshotDudeBazaar,,,,,149,TID_GUARD_RICO_SKIN,TID_GUARD_RICO_SKIN_SHOP,,,rico_dark.pvr,rico_dark.pvr,rico_dark.pvr,rico_dark.pvr,,,,,,,
HookDudeBazaar,HookDudeBazaar,,,,,149,TID_EVIL_GENE_SKIN,TID_EVIL_GENE_SKIN_SHOP,,,gene_dark_tex.pvr,gene_dark_tex.pvr,gene_dark_tex.pvr,gene_dark_tex.pvr,,,,,,,
UndertakerBazaar,UndertakerBazaar,,,,,149,TID_ROGUE_MORTIS_SKIN,TID_ROGUE_MORTIS_SKIN_SHOP,,,mortis_dark_tex.pvr,mortis_dark_tex.pvr,mortis_dark_tex.pvr,mortis_dark_tex.pvr,,,,,,,
MechanicRedDragon,MechanicRedDragon,,,TurretRedDragon,,79,TID_RED_DRAGON_JESSIE_SKIN,TID_RED_DRAGON_JESSIE_SKIN_SHOP,,,jessie_red-dragon_tex.pvr,jessie_red-dragon_tex.pvr,jessie_red-dragon_tex.pvr,jessie_red-dragon_tex.pvr,,,,,,,
TurretRedDragon,TurretRedDragon,,,,,,,,,,jessie_red-dragon_turret_tex.pvr,jessie_red-dragon_turret_tex.pvr,jessie_red-dragon_turret_tex.pvr,jessie_red-dragon_turret_tex.pvr,,,,,,,
DrillerConstructor,DrillerConstructor,,,,,29,TID_CONSTRUCTOR_JACKY_SKIN,TID_CONSTRUCTOR_JACKY_SKIN_SHOP,,,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,jacky_constructor_tex.pvr,,,,,,,
WallyHawaii,WallyHawaii,,,,,29,TID_TROPICAL_SPROUT_SKIN,TID_TROPICAL_SPROUT_SKIN_SHOP,,,sprout_hawaii_tex.pvr,sprout_hawaii_tex.pvr,"sprout_hawaii_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)","sprout_hawaii_tex.pvr+value(masks/sprout/sprout_glass_msk.png,1.000000)+hue(masks/sprout/sprout_glass_msk.png,347.441986)",,,,,,,
BullDudeBarbking,BullDudeBarbking,,,,,79,TID_BARBARIAN_KING_BULL_SKIN,TID_BARBARIAN_KING_BULL_SKIN_SHOP,,,bull_barbking_tex.pvr,bull_barbking_tex.pvr,bull_barbking_tex.pvr,bull_barbking_tex.pvr,,,,,,,
MinigunDudeSummer,MinigunDudeSummer,,,HealingStationSummer,,79,TID_HOLIDAY_PAM_SKIN,TID_HOLIDAY_PAM_SKIN_SHOP,,,,,,,,,,,,,
BlowerTrader,BlowerTrader,,,,,149,TID_MERCHANT_GALE_SKIN,TID_MERCHANT_GALE_SKIN_SHOP,,,gale_trader_tex.pvr,gale_trader_tex.pvr,gale_trader_tex.pvr,gale_trader_tex.pvr,,,,,,,
ControllerDefaultAddon,ControllerDefaultAddon,,,,,,,,,,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,nani_tex.pvr,,,,,,,
HealingStationSummer,HealingStationSummer,,,,,,,,,,"pam_summer_gun_tex.pvr+hue(masks/pam/pam_summer_gun_msk.png,238.604996)",pam_summer_gun_tex.pvr,"pam_summer_gun_tex.pvr+hue(masks/pam/pam_summer_gun_msk.png,238.604996)",pam_summer_gun_tex.pvr,,,,,,,
LuchadorGold,LuchadorGold,,,,,,TID_TRUE_GOLD_EL_PRIMO_SKIN,TID_TRUE_GOLD_EL_PRIMO_SKIN_SHOP,,gold_materials.scw,primo_gold_tex.pvr,primo_gold_tex.pvr,primo_gold_tex.pvr,primo_gold_tex.pvr,,,,,,,
PowerLevelerDefault,PowerLevelerDefault,,,,,,,,,,surge_tex.pvr,surge_tex.pvr,surge_tex.pvr,surge_tex.pvr,,,,,,,
MummyGold,MummyGold,,,,,,TID_TRUE_GOLD_EMZ_SKIN,TID_TRUE_GOLD_EMZ_SKIN_SHOP,,gold_materials.scw,emz_gold_tex.pvr,emz_gold_tex.pvr,emz_gold_tex.pvr,emz_gold_tex.pvr,,,,,,,
MummySilver,MummySilver,,,,,,TID_TRUE_SILVER_EMZ_SKIN,TID_TRUE_SILVER_EMZ_SKIN_SHOP,,silver_materials.scw,emz_silver_tex.pvr,emz_silver_tex.pvr,emz_silver_tex.pvr,emz_silver_tex.pvr,,,,,,,
LuchadorSilver,LuchadorSilver,,,,,,TID_TRUE_SILVER_EL_PRIMO_SKIN,TID_TRUE_SILVER_EL_PRIMO_SKIN_SHOP,,silver_materials.scw,primo_silver_tex.pvr,primo_silver_tex.pvr,primo_silver_tex.pvr,primo_silver_tex.pvr,,,,,,,
BeeSniperMonster,BeeSniperMonster,,,BeeSniperSlowPotDefault,,149,TID_MEGA_BEETLE_BEA_SKIN,TID_MEGA_BEETLE_BEA_SKIN_SHOP,,,bea_bug_tex.pvr,bea_bug_tex.pvr,bea_bug_tex.pvr,bea_bug_tex.pvr,,,,,,,
DrillerMonster,DrillerMonster,,,,,149,TID_ULTRA_DRILLER_JACKY_SKIN,TID_ULTRA_DRILLER_JACKY_SKIN_SHOP,,,jacky_driller_tex.pvr,jacky_driller_tex.pvr,jacky_driller_tex.pvr,jacky_driller_tex.pvr,,,,,,,
ClusterBombMonster,ClusterBombMonster,,,ClusterBombPetMonster,,79,TID_KING_CRAB_TICK_SKIN,TID_KING_CRAB_TICK_SKIN_SHOP,,,tick_crab_tex.pvr,tick_crab_tex.pvr,tick_crab_tex.pvr,tick_crab_tex.pvr,,,,,,,
BossKaijuDefault,BossKaijuDefault,,,,,,,,,,kaiju_boss_tex.pvr,kaiju_boss_tex.pvr,kaiju_boss_tex.pvr,kaiju_boss_tex.pvr,,,,,,,
BeeSniperMonsterAddonBee,BeeSniperMonsterAddonBee,,,,,,,,,,bea_bug_tex.pvr,bea_bug_tex.pvr,bea_bug_tex.pvr,bea_bug_tex.pvr,,,,,,,
SafeBank,SafeBank,,,,,,,,,,,,,,,,,,,,
ControllerRetro,ControllerRetro,,,,,29,TID_RETRO_NANI_SKIN,TID_RETRO_NANI_SKIN_SHOP,,,nani_retro_tex.pvr,nani_retro_tex.pvr,nani_retro_tex.pvr,nani_retro_tex.pvr,,,,,,,
ShotgunGirlGold,ShotgunGirlGold,,,,,,TID_TRUE_GOLD_SHELLY_SKIN,TID_TRUE_GOLD_SHELLY_SKIN_SHOP,,gold_materials.scw,shelly_gold_tex.pvr,shelly_gold_tex.pvr,shelly_gold_tex.pvr,shelly_gold_tex.pvr,,,,,,,
ShotgunGirlSilver,ShotgunGirlSilver,,,,,,TID_TRUE_SILVER_SHELLY_SKIN,TID_TRUE_SILVER_SHELLY_SKIN_SHOP,,silver_materials.scw,shelly_silver_tex.pvr,shelly_silver_tex.pvr,shelly_silver_tex.pvr,shelly_silver_tex.pvr,,,,,,,
SniperGold,SniperGold,,,,,,TID_TRUE_GOLD_PIPER_SKIN,TID_TRUE_GOLD_PIPER_SKIN_SHOP,,gold_materials.scw,piper_gold_tex.pvr,piper_gold_tex.pvr,piper_gold_tex.pvr,piper_gold_tex.pvr,,,,,,,
SniperSilver,SniperSilver,,,,,,TID_TRUE_SILVER_PIPER_SKIN,TID_TRUE_SILVER_PIPER_SKIN_SHOP,,silver_materials.scw,piper_silver_tex.pvr,piper_silver_tex.pvr,piper_silver_tex.pvr,piper_silver_tex.pvr,,,,,,,
